date,OP,CP,HP,LP,DF,RD,TV,TC,TO
2016-03-29,19.92,20.02,20.02,19.88,0.05,1,9455000,757,188530310
2016-03-30,19.98,19.97,20.0,19.91,-0.05,-1,7133000,338,142279920
2016-03-31,19.88,19.71,19.88,19.7,-0.26,-1,3158000,144,62346120
2016-04-01,19.79,19.86,19.93,19.75,0.15,1,2405000,169,47724340
2016-04-06,20.03,20.18,20.18,20.02,0.32,1,8534000,520,171716980
2016-04-07,20.18,20.22,20.33,20.07,0.04,1,2854000,185,57590110
2016-04-08,20.22,20.3,20.38,20.22,0.08,1,2066000,161,41986730
2016-04-11,20.42,20.32,20.42,20.27,0.02,1,2067000,92,42052240
2016-04-12,20.1,19.95,20.1,19.93,-0.37,-1,3015000,143,60251650
2016-04-13,19.8,19.59,19.8,19.56,-0.36,-1,4008000,206,78806470
2016-04-14,19.58,19.43,19.58,19.38,-0.16,-1,1598015,197,31023375
2016-04-15,19.43,19.35,19.43,19.32,-0.08,-1,2388000,132,46236370
2016-04-18,19.48,19.47,19.56,19.42,0.12,1,2922000,130,56862850
2016-04-19,19.25,19.26,19.34,19.25,-0.21,-1,1986000,281,38339920
2016-04-20,19.4,19.42,19.42,19.25,0.16,1,1755000,94,33970060
2016-04-21,19.29,19.36,19.37,19.24,-0.06,-1,1916000,93,37001190
2016-04-22,19.48,19.4,19.49,19.37,0.04,1,1601000,92,31099930
2016-04-25,19.48,19.56,19.56,19.45,0.16,1,1424000,107,27777740
2016-04-26,19.61,19.57,19.62,19.51,0.01,1,1026000,67,20096890
2016-04-27,19.35,19.27,19.35,19.24,-0.3,-1,1435000,313,27692540
2016-04-28,19.27,19.26,19.28,19.11,-0.01,-1,819000,93,15728920
2016-04-29,19.5,19.52,19.62,19.43,0.26,1,1449000,362,28319640
2016-05-03,19.6,19.52,19.73,19.43,0.0,0,990000,162,19417560
2016-05-04,19.8,19.86,19.92,19.73,0.34,1,924000,167,18338980
2016-05-05,19.92,19.89,19.93,19.84,0.03,1,942000,98,18734570
2016-05-06,19.92,19.94,20.01,19.9,0.05,1,1125985,87,22479333
