date,OP,CP,HP,LP,DF,RD,TV,TC,TO
2016-10-05,9.98,9.98,10.05,9.94,-0.04,-1,13267000,925,132596180
2016-10-06,9.98,10.01,10.02,9.91,0.03,1,14835000,259,147796750
2016-10-07,10.03,10.0,10.03,9.98,-0.01,-1,4922000,151,49238360
2016-10-11,10.18,9.86,10.18,9.78,-0.14,-1,12081000,422,120509390
2016-10-12,9.88,10.04,10.05,9.83,0.18,1,30247000,561,299176680
2016-10-13,10.0,9.88,10.02,9.85,-0.16,-1,22642000,789,224434680
2016-10-14,9.84,9.83,9.93,9.79,-0.05,-1,21386000,779,210677670
2016-10-17,9.8,9.82,9.87,9.61,-0.01,-1,16495000,1057,160479510
2016-10-18,9.84,9.9,9.91,9.8,0.08,1,10124000,649,99969820
2016-10-19,9.93,10.0,10.05,9.93,0.1,1,11627000,869,116354860
2016-10-20,10.02,10.09,10.1,9.99,0.09,1,9400000,697,94615770
2016-10-21,10.06,10.06,10.15,10.0,-0.03,-1,10439000,797,105163040
2016-10-24,10.14,10.13,10.15,10.06,0.07,1,8164000,701,82564660
2016-10-25,10.15,10.3,10.3,10.14,0.17,1,9649000,833,98616800
2016-10-26,10.2,10.18,10.25,10.17,-0.12,-1,9560000,681,97510480
2016-10-27,10.18,10.07,10.21,10.04,-0.11,-1,12479000,1030,126162150
2016-10-28,10.12,10.05,10.13,10.03,-0.02,-1,7670000,661,77273510
2016-10-31,9.97,10.09,10.11,9.85,0.04,1,12783000,1138,127440510
2016-11-01,9.99,10.07,10.08,9.96,-0.02,-1,11674000,912,117038750
2016-11-02,9.91,9.77,9.93,9.77,-0.3,-1,30558000,2391,301183530
2016-11-03,9.78,9.65,9.82,9.65,-0.12,-1,15281000,1691,148624500
2016-11-04,9.63,9.6,9.67,9.58,-0.05,-1,12357000,1321,118925900
2016-11-07,9.71,9.88,9.88,9.71,0.28,1,17096000,1391,167266500
2016-11-08,9.93,9.93,9.94,9.82,0.05,1,14250000,1295,140960370
2016-11-09,10.05,9.3,10.1,9.25,-0.63,-1,34363000,3463,331005190
2016-11-10,9.77,9.85,9.85,9.74,0.55,1,13842000,1412,135453420
2016-11-11,9.5,9.36,9.56,9.36,-0.49,-1,20373000,2531,192135890
2016-11-14,9.36,9.35,9.42,9.22,-0.01,-1,12862000,1774,119922090
2016-11-15,9.31,9.32,9.39,9.29,-0.03,-1,10572000,1172,98781000
