date,OP,CP,HP,LP,DF,RD,TV,TC,TO
2017-04-25,20.03,20.02,20.04,20.0,0.03,1,4333000,376,86768250
2017-04-26,20.04,19.93,20.05,19.93,-0.09,-1,2075000,90,41492860
2017-04-27,19.9,19.87,19.9,19.84,-0.06,-1,1233000,48,24484800
2017-04-28,19.84,19.88,19.88,19.82,0.01,1,1275000,56,25302440
2017-05-02,20.05,20.19,20.21,20.04,0.31,1,2086000,205,42002020
2017-05-03,20.1,20.08,20.13,20.05,-0.11,-1,1437000,65,28875790
2017-05-04,20.2,20.18,20.22,20.18,0.1,1,1191000,64,24055670
2017-05-05,20.18,20.16,20.19,20.13,-0.02,-1,2005000,60,40426250
2017-05-08,20.16,20.05,20.16,20.04,-0.11,-1,1265000,45,25399020
2017-05-09,20.02,19.98,20.03,19.98,-0.07,-1,899000,43,17979840
2017-05-10,20.18,20.15,20.19,20.14,0.17,1,3291000,108,66344020
2017-05-11,20.1,20.04,20.1,19.98,-0.11,-1,884000,33,17713100
2017-05-12,19.98,19.95,19.98,19.94,-0.09,-1,1052000,46,20986710
2017-05-15,19.97,19.96,19.99,19.96,0.01,1,865000,37,17282360
2017-05-16,19.98,19.96,19.98,19.96,0.0,0,1002000,28,20017010
2017-05-17,20.17,20.27,20.27,20.15,0.31,1,1996000,138,40314340
2017-05-18,19.98,19.98,20.0,19.92,-0.29,-1,1017000,68,20303490
2017-05-19,19.62,19.66,19.68,19.6,-0.32,-1,1673000,130,32880480
2017-05-22,19.79,19.82,19.85,19.77,0.16,1,922000,62,18267690
2017-05-23,19.8,19.76,19.84,19.76,-0.06,-1,1242000,126,24600040
2017-05-24,19.68,19.56,19.7,19.55,-0.2,-1,2223000,250,43603250
2017-05-25,19.64,19.7,19.7,19.64,0.14,1,1590000,114,31289440
2017-05-26,19.49,19.4,19.5,19.4,-0.3,-1,1193000,229,23190920
2017-05-31,19.07,19.0,19.08,18.97,-0.4,-1,1809000,301,34421780
2017-06-01,19.02,19.05,19.07,19.0,0.05,1,715000,80,13608610
2017-06-02,18.95,18.98,19.0,18.9,-0.07,-1,1057000,110,20004330
2017-06-03,19.05,19.18,19.2,19.05,0.2,1,513000,90,9833750
2017-06-05,19.16,19.17,19.22,19.14,-0.01,-1,1310000,120,25112040
2017-06-06,19.16,19.13,19.16,19.11,-0.04,-1,1812000,95,34662920
2017-06-07,19.28,19.27,19.28,19.2,0.14,1,1003000,114,19297590
2017-06-08,19.41,19.42,19.46,19.36,0.15,1,1349000,129,26204540
2017-06-09,19.48,19.47,19.51,19.45,0.05,1,1291000,116,25139790
2017-06-12,19.52,19.46,19.53,19.44,-0.01,-1,1110000,93,21622240
2017-06-13,19.38,19.36,19.39,19.35,-0.1,-1,847000,100,16404020
2017-06-14,19.36,19.36,19.39,19.35,0.0,0,1249000,84,24204040
2017-06-15,19.33,19.3,19.33,19.27,-0.06,-1,1397000,86,26950890
2017-06-16,19.46,19.48,19.57,19.46,0.18,1,1243500,103,24282390
2017-06-19,19.55,19.71,19.73,19.54,0.23,1,1726000,131,33896830
2017-06-20,19.57,19.49,19.57,19.47,-0.22,-1,1267000,87,24726560
2017-06-21,19.36,19.36,19.4,19.34,-0.13,-1,715000,59,13847060
2017-06-22,19.11,19.11,19.13,19.07,-0.25,-1,1413000,142,26988570
2017-06-23,18.85,18.83,18.87,18.83,-0.28,-1,1969000,249,37101440
2017-06-26,18.83,18.89,18.9,18.83,0.06,1,1169000,136,22070340
2017-06-27,18.9,18.9,18.93,18.89,0.01,1,273000,66,5161370
2017-06-28,18.95,18.9,18.95,18.89,0.0,0,658000,130,12442670
2017-06-29,18.97,19.09,19.1,18.97,0.19,1,260000,90,4952760
2017-06-30,19.03,19.06,19.07,18.98,-0.03,-1,219000,72,4165320
2017-07-03,19.95,19.98,20.0,19.9,0.92,1,1620000,361,32331110
2017-07-04,20.15,20.1,20.17,20.0,0.12,1,1549000,285,31162770
2017-07-05,20.12,20.13,20.14,20.11,0.03,1,696000,105,14006760
2017-07-06,20.4,20.35,20.44,20.24,0.22,1,1596000,257,32497660
2017-07-07,20.53,20.57,20.6,20.52,0.22,1,803050,170,16510209
2017-07-10,21.2,21.31,21.31,21.19,0.74,1,1000000,229,21246410
2017-07-11,21.52,21.4,21.54,21.36,0.09,1,1795300,393,38588170
