date,OP,CP,HP,LP,DF,RD,TV,TC,TO
2017-05-22,0.91,0.91,0.91,0.91,0.02,1,228000,2,207480
2017-05-23,0.86,0.86,0.86,0.86,-0.05,-1,22000,1,18920
2017-05-24,0.83,0.83,0.83,0.83,-0.03,-1,5000,1,4150
2017-05-25,0.81,0.84,0.85,0.81,0.01,1,622000,6,523740
2017-05-26,0.82,0.82,0.82,0.82,-0.02,-1,284000,2,232880
2017-05-31,,,,,0.0,0,0,0,0
2017-06-01,,,,,0.0,0,0,0,0
2017-06-02,0.79,0.79,0.79,0.79,0.0,0,177000,1,139830
2017-06-03,0.8,0.8,0.8,0.8,0.01,1,177000,1,141600
2017-06-05,,,,,0.0,0,0,0,0
2017-06-06,0.59,0.53,0.59,0.53,0.0,0,363000,3,212370
2017-06-07,0.57,0.57,0.57,0.57,0.04,1,365000,3,208050
2017-06-08,0.55,0.55,0.55,0.55,-0.02,-1,24000,2,13200
2017-06-09,0.54,0.53,0.54,0.53,-0.02,-1,355000,2,188370
2017-06-12,0.53,0.53,0.53,0.53,0.0,0,307000,1,162710
2017-06-13,0.54,0.56,0.56,0.54,0.03,1,559000,5,305900
2017-06-14,0.47,0.49,0.49,0.47,-0.07,-1,733000,3,348510
2017-06-15,0.48,0.53,0.53,0.48,0.04,1,1019000,7,518120
2017-06-16,0.52,0.5,0.52,0.5,-0.03,-1,851000,4,442320
2017-06-19,,,,,0.0,0,0,0,0
2017-06-20,0.42,0.41,0.42,0.41,0.0,0,63000,2,26060
2017-06-21,0.44,0.42,0.44,0.42,0.01,1,62000,3,26500
2017-06-22,0.41,0.41,0.41,0.41,-0.01,-1,39000,1,15990
2017-06-23,0.37,0.41,0.41,0.37,0.0,0,137000,3,54570
2017-06-26,0.42,0.41,0.43,0.41,0.0,0,878000,7,369140
2017-06-27,0.37,0.38,0.39,0.37,-0.03,-1,613000,5,229050
2017-06-28,0.41,0.43,0.44,0.41,0.05,1,594000,7,253910
2017-06-29,0.39,0.43,0.43,0.39,0.0,0,442000,5,173140
2017-06-30,0.45,0.44,0.45,0.44,0.01,1,41000,4,18380
2017-07-03,0.41,0.41,0.41,0.41,-0.03,-1,27000,1,11070
2017-07-04,,,,,0.0,0,0,0,0
2017-07-05,0.38,0.38,0.38,0.38,0.0,0,12000,1,4560
2017-07-06,0.33,0.35,0.35,0.33,-0.03,-1,445000,3,155510
2017-07-07,0.35,0.35,0.35,0.35,0.0,0,100000,1,35000
2017-07-10,0.36,0.35,0.36,0.35,0.0,0,110000,2,39500
2017-07-11,0.31,0.3,0.32,0.3,-0.05,-1,373000,5,115530
