date,OP,CP,HP,LP,DF,RD,TV,TC,TO
2017-05-22,,,,,0.0,0,0,0,0
2017-05-23,,,,,0.0,0,0,0,0
2017-05-24,,,,,0.0,0,0,0,0
2017-05-25,,,,,0.0,0,0,0,0
2017-05-26,,,,,0.0,0,0,0,0
2017-05-31,,,,,0.0,0,0,0,0
2017-06-01,,,,,0.0,0,0,0,0
2017-06-02,,,,,0.0,0,0,0,0
2017-06-03,,,,,0.0,0,0,0,0
2017-06-05,,,,,0.0,0,0,0,0
2017-06-06,,,,,0.0,0,0,0,0
2017-06-07,,,,,0.0,0,0,0,0
2017-06-08,3.53,3.53,3.53,3.53,0.0,0,40000,3,141200
2017-06-09,,,,,0.0,0,0,0,0
2017-06-12,3.65,3.65,3.65,3.65,0.0,0,10000,1,36500
2017-06-13,,,,,0.0,0,0,0,0
2017-06-14,3.79,3.78,3.79,3.77,0.0,0,20000,3,75650
2017-06-15,,,,,0.0,0,0,0,0
2017-06-16,,,,,0.0,0,0,0,0
2017-06-19,,,,,0.0,0,0,0,0
2017-06-20,3.27,3.16,3.27,3.16,0.0,0,35000,5,113250
2017-06-21,3.25,3.28,3.28,3.25,0.12,1,10000,2,32650
2017-06-22,3.07,3.06,3.07,3.06,-0.22,-1,12000,2,36790
2017-06-23,3.08,3.08,3.08,3.08,0.02,1,7000,1,21560
2017-06-26,2.74,2.74,2.74,2.74,-0.34,-1,10000,1,27400
2017-06-27,2.75,2.75,2.75,2.75,0.01,1,70000,2,192500
2017-06-28,2.83,2.89,2.89,2.79,0.14,1,150000,9,423950
2017-06-29,,,,,0.0,0,0,0,0
2017-06-30,2.98,2.91,2.98,2.91,0.0,0,150000,6,443200
2017-07-03,2.89,2.88,2.89,2.88,-0.03,-1,60000,4,173100
2017-07-04,2.85,2.96,2.96,2.83,0.08,1,74000,5,212060
2017-07-05,2.96,2.82,3.04,2.82,-0.14,-1,91000,6,267160
2017-07-06,2.84,2.86,2.92,2.84,0.04,1,162000,12,466010
2017-07-07,2.97,2.96,2.97,2.94,0.1,1,65000,4,192500
2017-07-10,2.92,2.94,2.94,2.92,-0.02,-1,20000,3,58600
2017-07-11,2.81,2.69,2.81,2.69,-0.25,-1,80000,4,220900
