date,OP,CP,HP,LP,DF,RD,TV,TC,TO
2017-05-22,1.86,1.86,1.86,1.86,0.02,1,5000,1,9300
2017-05-23,1.88,1.88,1.88,1.88,0.02,1,10000,1,18800
2017-05-24,1.9,1.9,1.9,1.9,0.02,1,2000,1,3800
2017-05-25,1.95,1.98,1.98,1.95,0.08,1,5000,2,9870
2017-05-26,1.98,1.99,1.99,1.98,0.01,1,3000,2,5960
2017-05-31,1.94,1.9,1.94,1.9,-0.09,-1,8000,2,15360
2017-06-01,1.94,1.94,1.94,1.94,0.04,1,6000,2,11640
2017-06-02,,,,,0.0,0,0,0,0
2017-06-03,,,,,0.0,0,0,0,0
2017-06-05,,,,,0.0,0,0,0,0
2017-06-06,,,,,0.0,0,0,0,0
2017-06-07,,,,,0.0,0,0,0,0
2017-06-08,,,,,0.0,0,0,0,0
2017-06-09,2.08,2.08,2.08,2.08,0.0,0,10000,1,20800
2017-06-12,1.99,1.99,1.99,1.99,-0.09,-1,10000,1,19900
2017-06-13,,,,,0.0,0,0,0,0
2017-06-14,,,,,0.0,0,0,0,0
2017-06-15,,,,,0.0,0,0,0,0
2017-06-16,,,,,0.0,0,0,0,0
2017-06-19,,,,,0.0,0,0,0,0
2017-06-20,,,,,0.0,0,0,0,0
2017-06-21,,,,,0.0,0,0,0,0
