date,OP,CP,HP,LP,DF,RD,TV,TC,TO
2017-05-22,1.07,1.07,1.07,1.05,0.01,1,85000,8,90150
2017-05-23,1.06,1.06,1.06,1.04,-0.01,-1,156000,10,163800
2017-05-24,1.04,1.06,1.06,1.02,0.0,0,235000,9,243540
2017-05-25,1.01,1.07,1.07,1.01,0.01,1,853000,24,889190
2017-05-26,1.05,1.06,1.06,1.04,-0.01,-1,485000,13,513630
2017-05-31,1.05,1.02,1.05,1.0,-0.04,-1,346000,12,352760
2017-06-01,1.04,1.03,1.04,1.01,0.01,1,320000,11,325860
2017-06-02,1.06,1.09,1.09,1.06,0.06,1,544000,17,580680
2017-06-03,1.08,1.08,1.1,1.07,-0.01,-1,92000,8,99980
2017-06-05,1.08,1.08,1.09,1.06,0.0,0,187000,10,199850
2017-06-06,1.05,0.97,1.05,0.92,-0.11,-1,769000,34,741950
2017-06-07,0.94,0.98,0.98,0.94,0.01,1,691000,21,656840
2017-06-08,0.97,0.95,1.01,0.95,-0.03,-1,936000,22,905560
2017-06-09,0.93,0.94,0.95,0.93,-0.01,-1,143000,10,134540
2017-06-12,0.83,0.91,0.91,0.83,-0.03,-1,729000,12,625290
2017-06-13,0.87,0.88,0.88,0.85,-0.03,-1,430000,7,373290
2017-06-14,0.86,0.85,0.86,0.83,-0.03,-1,810000,12,687060
2017-06-15,0.84,0.84,0.85,0.84,-0.01,-1,286000,5,240500
2017-06-16,0.8,0.82,0.82,0.8,-0.02,-1,38000,4,30960
2017-06-19,0.82,0.84,0.84,0.81,0.02,1,135000,8,111700
2017-06-20,0.83,0.87,0.89,0.83,0.03,1,1643000,24,1430810
2017-06-21,0.86,0.87,0.91,0.86,0.0,0,681000,22,603560
2017-06-22,0.9,1.0,1.0,0.9,0.13,1,1206000,42,1155490
2017-06-23,1.01,0.96,1.01,0.93,-0.04,-1,1791000,56,1724840
2017-06-26,0.97,0.97,0.99,0.94,0.01,1,2321000,51,2242470
2017-06-27,0.98,0.95,0.98,0.94,-0.02,-1,2196000,69,2093850
2017-06-28,0.9,0.92,0.97,0.87,-0.03,-1,3596000,106,3272870
2017-06-29,0.97,0.89,0.97,0.88,-0.03,-1,1415000,50,1280050
2017-06-30,0.89,0.93,0.94,0.83,0.04,1,1749000,104,1559280
2017-07-03,0.96,0.88,0.96,0.85,-0.05,-1,3907000,90,3425210
2017-07-04,0.87,0.85,0.88,0.84,-0.03,-1,3386000,53,2906630
2017-07-05,0.83,0.83,0.84,0.82,-0.02,-1,1803000,24,1487800
2017-07-06,0.82,0.79,0.82,0.79,-0.04,-1,262000,20,211010
2017-07-07,0.77,0.78,0.8,0.75,-0.01,-1,815000,18,637110
2017-07-10,0.78,0.77,0.78,0.76,-0.01,-1,341000,9,265170
2017-07-11,0.77,0.84,0.84,0.77,0.07,1,529000,23,420060
