date,OP,CP,HP,LP,DF,RD,TV,TC,TO
2004-07-12,,,,,0.0,0,0,0,0
2004-07-13,35.2,36.0,36.0,35.2,0.0,0,9000,9,320500
2004-07-14,,,,,0.0,0,0,0,0
2004-07-15,34.5,34.5,34.5,34.5,0.0,0,1000,1,34500
2004-07-16,,,,,0.0,0,0,0,0
2004-07-19,,,,,0.0,0,0,0,0
2004-07-20,32.1,32.1,32.1,32.1,0.0,0,1000,1,32100
2004-07-21,33.0,33.0,33.0,33.0,0.9,1,1000,1,33000
2004-07-22,,,,,0.0,0,0,0,0
2004-07-23,,,,,0.0,0,0,0,0
2004-07-26,,,,,0.0,0,0,0,0
2004-07-27,,,,,0.0,0,0,0,0
2004-07-28,,,,,0.0,0,0,0,0
2004-07-29,,,,,0.0,0,0,0,0
2004-07-30,,,,,0.0,0,0,0,0
2004-08-02,,,,,0.0,0,0,0,0
2004-08-03,,,,,0.0,0,0,0,0
2004-08-04,,,,,0.0,0,0,0,0
2004-08-05,,,,,0.0,0,0,0,0
2004-08-06,,,,,0.0,0,0,0,0
2004-08-09,,,,,0.0,0,0,0,0
2004-08-10,,,,,0.0,0,0,0,0
2004-08-11,,,,,0.0,0,0,0,0
2004-08-12,,,,,0.0,0,0,0,0
2004-08-13,,,,,0.0,0,0,0,0
2004-08-16,,,,,0.0,0,0,0,0
2004-08-17,,,,,0.0,0,0,0,0
2004-08-18,,,,,0.0,0,0,0,0
2004-08-19,34.6,34.6,34.6,34.6,0.0,0,1000,1,34600
2004-08-20,,,,,0.0,0,0,0,0
2004-08-23,,,,,0.0,0,0,0,0
2004-08-26,,,,,0.0,0,0,0,0
2004-08-27,,,,,0.0,0,0,0,0
2004-08-30,,,,,0.0,0,0,0,0
2004-08-31,,,,,0.0,0,0,0,0
2004-09-01,,,,,0.0,0,0,0,0
2004-09-02,,,,,0.0,0,0,0,0
2004-09-03,,,,,0.0,0,0,0,0
2004-09-06,,,,,0.0,0,0,0,0
2004-09-07,,,,,0.0,0,0,0,0
2004-09-08,,,,,0.0,0,0,0,0
2004-09-09,,,,,0.0,0,0,0,0
2004-09-10,,,,,0.0,0,0,0,0
2004-09-13,,,,,0.0,0,0,0,0
2004-09-14,,,,,0.0,0,0,0,0
2004-09-15,,,,,0.0,0,0,0,0
2004-09-16,,,,,0.0,0,0,0,0
2004-09-17,,,,,0.0,0,0,0,0
2004-09-20,,,,,0.0,0,0,0,0
2004-09-21,,,,,0.0,0,0,0,0
2004-09-22,,,,,0.0,0,0,0,0
2004-09-23,,,,,0.0,0,0,0,0
2004-09-24,,,,,0.0,0,0,0,0
2004-09-27,,,,,0.0,0,0,0,0
2004-09-29,,,,,0.0,0,0,0,0
2004-09-30,,,,,0.0,0,0,0,0
2004-10-01,,,,,0.0,0,0,0,0
2004-10-04,,,,,0.0,0,0,0,0
2004-10-05,,,,,0.0,0,0,0,0
2004-10-06,,,,,0.0,0,0,0,0
2004-10-07,,,,,0.0,0,0,0,0
2004-10-08,,,,,0.0,0,0,0,0
2004-10-11,,,,,0.0,0,0,0,0
2004-10-12,,,,,0.0,0,0,0,0
