date,OP,CP,HP,LP,DF,RD,TV,TC,TO
2004-02-11,,,,,0.0,0,0,0,0
2004-02-12,,,,,0.0,0,0,0,0
2004-02-13,,,,,0.0,0,0,0,0
2004-02-16,,,,,0.0,0,0,0,0
2004-02-17,,,,,0.0,0,0,0,0
2004-02-18,,,,,0.0,0,0,0,0
2004-02-19,,,,,0.0,0,0,0,0
2004-02-20,,,,,0.0,0,0,0,0
2004-02-23,,,,,0.0,0,0,0,0
2004-02-24,,,,,0.0,0,0,0,0
2004-02-25,,,,,0.0,0,0,0,0
2004-02-26,,,,,0.0,0,0,0,0
2004-02-27,43.8,43.8,43.8,43.8,0.0,0,1000,1,43800
2004-03-01,45.0,46.2,46.2,45.0,2.4,1,12000,12,547100
2004-03-02,46.2,46.7,46.7,46.2,0.5,1,13000,11,604400
2004-03-03,46.8,47.9,47.9,46.8,1.2,1,6000,6,284100
2004-03-04,,,,,0.0,0,0,0,0
2004-03-05,,,,,0.0,0,0,0,0
2004-03-08,,,,,0.0,0,0,0,0
2004-03-09,46.1,46.5,46.5,46.1,0.0,0,18000,6,834300
2004-03-10,45.8,45.8,45.8,45.8,-0.7,-1,10000,4,458000
2004-03-11,45.1,45.1,45.1,45.1,-0.7,-1,10000,1,451000
2004-03-12,,,,,0.0,0,0,0,0
2004-03-15,,,,,0.0,0,0,0,0
2004-03-16,,,,,0.0,0,0,0,0
2004-03-17,,,,,0.0,0,0,0,0
2004-03-18,45.0,45.1,45.1,45.0,0.0,0,20000,3,901000
2004-03-19,45.1,45.1,45.1,45.1,0.0,0,7000,1,315700
2004-03-22,,,,,0.0,0,0,0,0
2004-03-23,,,,,0.0,0,0,0,0
2004-03-24,40.8,41.5,41.5,40.8,0.0,0,7000,7,288400
2004-03-25,41.6,41.7,41.7,41.6,0.2,1,2000,2,83300
2004-03-26,40.0,40.0,40.0,40.0,-1.7,-1,5000,1,200000
2004-03-29,,,,,0.0,0,0,0,0
2004-03-30,,,,,0.0,0,0,0,0
2004-03-31,,,,,0.0,0,0,0,0
2005-08-10,,,,,0.0,0,0,0,0
2005-08-11,,,,,0.0,0,0,0,0
2005-08-12,,,,,0.0,0,0,0,0
2005-08-15,,,,,0.0,0,0,0,0
2005-08-16,,,,,0.0,0,0,0,0
2005-08-17,,,,,0.0,0,0,0,0
2005-08-18,,,,,0.0,0,0,0,0
2005-08-19,,,,,0.0,0,0,0,0
2005-08-22,,,,,0.0,0,0,0,0
2005-08-23,,,,,0.0,0,0,0,0
2005-08-24,,,,,0.0,0,0,0,0
2005-08-25,,,,,0.0,0,0,0,0
2005-08-26,,,,,0.0,0,0,0,0
2005-08-29,,,,,0.0,0,0,0,0
2005-08-30,,,,,0.0,0,0,0,0
2005-08-31,,,,,0.0,0,0,0,0
2005-09-02,,,,,0.0,0,0,0,0
2005-09-05,,,,,0.0,0,0,0,0
2005-09-06,,,,,0.0,0,0,0,0
2005-09-07,,,,,0.0,0,0,0,0
2005-09-08,,,,,0.0,0,0,0,0
2005-09-09,,,,,0.0,0,0,0,0
2005-09-12,,,,,0.0,0,0,0,0
2005-09-13,,,,,0.0,0,0,0,0
2005-09-14,,,,,0.0,0,0,0,0
2005-09-15,,,,,0.0,0,0,0,0
2005-09-16,,,,,0.0,0,0,0,0
2005-09-19,,,,,0.0,0,0,0,0
2005-09-20,,,,,0.0,0,0,0,0
2005-09-21,,,,,0.0,0,0,0,0
2005-09-22,,,,,0.0,0,0,0,0
2005-09-23,,,,,0.0,0,0,0,0
2005-09-26,,,,,0.0,0,0,0,0
2005-09-27,,,,,0.0,0,0,0,0
2005-09-28,,,,,0.0,0,0,0,0
2005-09-29,,,,,0.0,0,0,0,0
2005-09-30,,,,,0.0,0,0,0,0
2005-10-03,,,,,0.0,0,0,0,0
2005-10-04,,,,,0.0,0,0,0,0
2005-10-05,,,,,0.0,0,0,0,0
2005-10-06,,,,,0.0,0,0,0,0
2005-10-07,,,,,0.0,0,0,0,0
2005-10-11,,,,,0.0,0,0,0,0
2005-10-12,,,,,0.0,0,0,0,0
2005-10-13,,,,,0.0,0,0,0,0
2005-10-14,,,,,0.0,0,0,0,0
2005-10-17,,,,,0.0,0,0,0,0
2005-10-18,,,,,0.0,0,0,0,0
2005-10-19,,,,,0.0,0,0,0,0
2005-10-20,,,,,0.0,0,0,0,0
2005-10-21,,,,,0.0,0,0,0,0
2005-10-24,,,,,0.0,0,0,0,0
2005-10-25,,,,,0.0,0,0,0,0
2005-10-26,,,,,0.0,0,0,0,0
2005-10-27,,,,,0.0,0,0,0,0
2005-10-28,,,,,0.0,0,0,0,0
2005-10-31,,,,,0.0,0,0,0,0
2005-11-01,,,,,0.0,0,0,0,0
2005-11-02,,,,,0.0,0,0,0,0
2005-11-03,,,,,0.0,0,0,0,0
2005-11-04,,,,,0.0,0,0,0,0
2005-11-07,,,,,0.0,0,0,0,0
2005-11-08,,,,,0.0,0,0,0,0
