date,OP,CP,HP,LP,DF,RD,TV,TC,TO
2004-02-11,,,,,0.0,0,0,0,0
2004-02-12,51.0,51.5,51.5,51.0,0.0,0,2000,2,102500
2004-02-13,52.0,52.0,52.0,52.0,0.5,1,1000,1,52000
2004-02-16,52.5,53.5,53.5,52.5,1.5,1,15000,3,795000
2004-02-17,53.5,54.5,54.5,53.5,1.0,1,35000,8,1890000
2004-02-18,54.5,55.0,55.0,54.5,0.5,1,30000,4,1645000
2004-02-19,54.5,55.5,55.5,54.5,0.5,1,50000,8,2755000
2004-02-20,55.0,56.5,56.5,55.0,1.0,1,61000,7,3405500
2004-02-23,56.5,56.5,56.5,56.5,0.0,0,4000,1,226000
2004-02-24,,,,,0.0,0,0,0,0
2004-02-25,,,,,0.0,0,0,0,0
2004-02-26,,,,,0.0,0,0,0,0
2004-02-27,,,,,0.0,0,0,0,0
2004-03-01,56.0,56.0,56.0,56.0,0.0,0,20000,1,1120000
2004-03-02,,,,,0.0,0,0,0,0
2004-03-03,,,,,0.0,0,0,0,0
2004-03-04,,,,,0.0,0,0,0,0
2004-03-05,,,,,0.0,0,0,0,0
2004-03-08,,,,,0.0,0,0,0,0
2004-03-09,,,,,0.0,0,0,0,0
2004-03-10,,,,,0.0,0,0,0,0
2004-03-11,,,,,0.0,0,0,0,0
2004-03-12,,,,,0.0,0,0,0,0
2004-03-15,,,,,0.0,0,0,0,0
2004-03-16,,,,,0.0,0,0,0,0
2004-03-17,,,,,0.0,0,0,0,0
2004-03-18,,,,,0.0,0,0,0,0
2004-03-19,,,,,0.0,0,0,0,0
2004-03-22,,,,,0.0,0,0,0,0
2004-03-23,,,,,0.0,0,0,0,0
2004-03-24,,,,,0.0,0,0,0,0
2004-03-25,53.0,53.0,53.0,53.0,0.0,0,20000,2,1060000
2004-03-26,,,,,0.0,0,0,0,0
2004-03-29,54.0,53.5,54.0,53.5,0.0,0,20000,5,1078000
2004-03-30,,,,,0.0,0,0,0,0
2004-03-31,,,,,0.0,0,0,0,0
2004-04-01,,,,,0.0,0,0,0,0
2004-04-02,,,,,0.0,0,0,0,0
2004-04-05,,,,,0.0,0,0,0,0
2004-04-06,,,,,0.0,0,0,0,0
2004-04-07,,,,,0.0,0,0,0,0
2004-04-08,,,,,0.0,0,0,0,0
2004-04-09,,,,,0.0,0,0,0,0
2004-04-12,,,,,0.0,0,0,0,0
2004-04-13,,,,,0.0,0,0,0,0
2004-04-14,,,,,0.0,0,0,0,0
2004-04-15,,,,,0.0,0,0,0,0
2004-04-16,,,,,0.0,0,0,0,0
2004-04-19,,,,,0.0,0,0,0,0
