date,OP,CP,HP,LP,DF,RD,TV,TC,TO
2004-03-17,,,,,0.0,0,0,0,0
2004-03-18,,,,,0.0,0,0,0,0
2004-03-19,,,,,0.0,0,0,0,0
2004-03-22,,,,,0.0,0,0,0,0
2004-03-23,,,,,0.0,0,0,0,0
2004-03-24,,,,,0.0,0,0,0,0
2004-03-25,,,,,0.0,0,0,0,0
2004-03-26,,,,,0.0,0,0,0,0
2004-03-29,,,,,0.0,0,0,0,0
2004-03-30,,,,,0.0,0,0,0,0
2004-03-31,,,,,0.0,0,0,0,0
2004-04-01,,,,,0.0,0,0,0,0
2004-04-02,,,,,0.0,0,0,0,0
2004-04-05,,,,,0.0,0,0,0,0
2004-04-06,,,,,0.0,0,0,0,0
2004-04-07,56.0,56.0,56.0,56.0,0.0,0,3000,3,168000
2004-04-08,,,,,0.0,0,0,0,0
2004-04-09,,,,,0.0,0,0,0,0
2004-04-12,,,,,0.0,0,0,0,0
2004-04-13,58.0,59.5,59.5,58.0,0.0,0,4000,4,235500
2004-04-14,60.0,62.0,62.0,60.0,2.5,1,5000,5,305000
2004-04-15,61.0,61.0,61.0,61.0,-1.0,-1,1000,1,61000
2004-04-16,61.5,63.0,63.0,61.5,2.0,1,152000,21,9572500
2004-04-19,,,,,0.0,0,0,0,0
2004-04-20,60.5,60.0,60.5,60.0,0.0,0,7000,3,422000
2004-04-21,60.5,61.0,61.0,60.5,1.0,1,2000,2,121500
2004-04-22,61.5,60.0,61.5,60.0,-1.0,-1,5000,4,301500
2004-04-23,56.5,56.5,56.5,56.5,-3.5,-1,1000,1,56500
2004-04-26,,,,,0.0,0,0,0,0
2004-04-27,,,,,0.0,0,0,0,0
2004-04-28,55.0,55.0,55.0,55.0,0.0,0,4000,1,220000
2004-04-29,51.5,51.5,51.5,51.5,-3.5,-1,1000,1,51500
2004-04-30,51.0,51.0,51.0,51.0,-0.5,-1,1000,1,51000
2004-05-03,,,,,0.0,0,0,0,0
2004-05-04,,,,,0.0,0,0,0,0
2004-05-05,,,,,0.0,0,0,0,0
2004-05-06,,,,,0.0,0,0,0,0
2004-05-07,,,,,0.0,0,0,0,0
2004-05-10,,,,,0.0,0,0,0,0
2004-05-11,,,,,0.0,0,0,0,0
2004-05-12,,,,,0.0,0,0,0,0
2004-05-13,49.5,49.5,49.5,49.5,0.0,0,5000,1,247500
2004-05-14,,,,,0.0,0,0,0,0
2004-05-17,,,,,0.0,0,0,0,0
2004-05-18,,,,,0.0,0,0,0,0
2004-05-19,46.1,47.0,47.5,46.1,0.0,0,12000,5,566100
2004-05-20,,,,,0.0,0,0,0,0
2004-05-21,48.0,48.5,48.5,48.0,0.0,0,2000,2,96500
2004-05-24,,,,,0.0,0,0,0,0
2004-05-25,,,,,0.0,0,0,0,0
2004-05-26,,,,,0.0,0,0,0,0
2004-05-27,,,,,0.0,0,0,0,0
2004-05-28,,,,,0.0,0,0,0,0
2004-05-31,,,,,0.0,0,0,0,0
2004-06-01,,,,,0.0,0,0,0,0
2004-06-02,,,,,0.0,0,0,0,0
2004-06-03,,,,,0.0,0,0,0,0
2004-06-04,,,,,0.0,0,0,0,0
2004-06-07,,,,,0.0,0,0,0,0
2004-06-08,,,,,0.0,0,0,0,0
2004-06-09,45.2,45.2,45.2,45.2,0.0,0,1000,1,45200
2004-06-10,42.1,42.1,42.1,42.1,-3.1,-1,1000,1,42100
2004-06-11,39.2,39.2,39.2,39.2,-2.9,-1,1000,1,39200
2004-06-14,,,,,0.0,0,0,0,0
2004-06-15,37.6,38.6,38.9,37.6,0.0,0,6000,6,230500
2004-06-16,39.0,39.0,39.0,39.0,0.4,1,1000,1,39000
2004-06-17,,,,,0.0,0,0,0,0
2004-06-18,38.2,38.2,38.2,38.2,0.0,0,1000,1,38200
2004-06-21,,,,,0.0,0,0,0,0
2004-06-23,,,,,0.0,0,0,0,0
2004-06-24,36.0,38.0,38.0,36.0,0.0,0,1727000,7,62176500
2004-06-25,38.5,38.9,38.9,38.5,0.9,1,3000,3,116100
2004-06-28,39.1,39.1,39.1,39.1,0.2,1,1000,1,39100
2004-06-29,,,,,0.0,0,0,0,0
2004-06-30,40.5,40.5,40.5,40.5,0.0,0,2000,1,81000
2004-07-01,,,,,0.0,0,0,0,0
2004-07-02,,,,,0.0,0,0,0,0
2004-07-05,37.7,37.7,37.7,37.7,0.0,0,1000,1,37700
2004-07-06,,,,,0.0,0,0,0,0
2004-07-07,,,,,0.0,0,0,0,0
2004-07-08,,,,,0.0,0,0,0,0
2004-07-09,,,,,0.0,0,0,0,0
2004-07-12,,,,,0.0,0,0,0,0
2004-07-13,,,,,0.0,0,0,0,0
2004-07-14,,,,,0.0,0,0,0,0
2004-07-15,,,,,0.0,0,0,0,0
2004-07-16,,,,,0.0,0,0,0,0
2004-07-19,,,,,0.0,0,0,0,0
2004-07-20,35.1,35.1,35.1,35.1,0.0,0,1000,1,35100
2004-07-21,30.4,30.4,30.4,30.4,0.0,0,1000,1,30400
2004-07-22,28.3,28.3,28.3,28.3,-2.1,-1,10000,2,283000
2004-07-23,28.5,28.5,28.5,28.5,0.2,1,1000,1,28500
2004-07-26,28.3,28.3,28.3,28.3,-0.2,-1,2000,1,56600
2004-07-27,30.2,30.2,30.2,30.2,1.9,1,1000,1,30200
2004-07-28,30.3,30.3,30.3,30.3,0.1,1,1000,1,30300
2004-07-29,,,,,0.0,0,0,0,0
2004-07-30,,,,,0.0,0,0,0,0
2004-08-02,,,,,0.0,0,0,0,0
2004-08-03,,,,,0.0,0,0,0,0
2004-08-04,,,,,0.0,0,0,0,0
2004-08-05,,,,,0.0,0,0,0,0
2004-08-06,,,,,0.0,0,0,0,0
2004-08-09,,,,,0.0,0,0,0,0
2004-08-10,,,,,0.0,0,0,0,0
2004-08-11,,,,,0.0,0,0,0,0
2004-08-12,,,,,0.0,0,0,0,0
2004-08-13,,,,,0.0,0,0,0,0
2004-08-16,,,,,0.0,0,0,0,0
2004-08-17,,,,,0.0,0,0,0,0
2004-08-18,28.2,28.2,28.2,28.2,0.0,0,1000,1,28200
2004-08-19,,,,,0.0,0,0,0,0
2004-08-20,,,,,0.0,0,0,0,0
2004-08-23,,,,,0.0,0,0,0,0
2004-08-26,,,,,0.0,0,0,0,0
2004-08-27,30.1,30.1,30.1,30.1,0.0,0,3000,2,90300
2004-08-30,,,,,0.0,0,0,0,0
2004-08-31,,,,,0.0,0,0,0,0
2004-09-01,,,,,0.0,0,0,0,0
2004-09-02,,,,,0.0,0,0,0,0
2004-09-03,,,,,0.0,0,0,0,0
2004-09-06,,,,,0.0,0,0,0,0
2004-09-07,,,,,0.0,0,0,0,0
2004-09-08,,,,,0.0,0,0,0,0
2004-09-09,,,,,0.0,0,0,0,0
2004-09-10,,,,,0.0,0,0,0,0
2004-09-13,,,,,0.0,0,0,0,0
2004-09-14,,,,,0.0,0,0,0,0
2004-09-15,,,,,0.0,0,0,0,0
