date,OP,CP,HP,LP,DF,RD,TV,TC,TO
2004-12-10,,,,,0,0,0,0,0
2004-12-13,,,,,0,0,0,0,0
2004-12-14,,,,,0,0,0,0,0
2004-12-15,,,,,0,0,0,0,0
2004-12-16,,,,,0,0,0,0,0
2004-12-17,,,,,0,0,0,0,0
2004-12-20,,,,,0,0,0,0,0
2004-12-21,,,,,0,0,0,0,0
2004-12-22,,,,,0,0,0,0,0
2004-12-23,,,,,0,0,0,0,0
2004-12-24,,,,,0,0,0,0,0
2004-12-27,,,,,0,0,0,0,0
2004-12-28,,,,,0,0,0,0,0
2004-12-29,,,,,0,0,0,0,0
2004-12-30,,,,,0,0,0,0,0
2004-12-31,,,,,0,0,0,0,0
2005-01-03,,,,,0,0,0,0,0
2005-01-04,,,,,0,0,0,0,0
2005-01-05,,,,,0,0,0,0,0
2005-01-06,,,,,0,0,0,0,0
2005-01-07,,,,,0,0,0,0,0
2005-01-10,,,,,0,0,0,0,0
2005-01-11,,,,,0,0,0,0,0
2005-01-12,,,,,0,0,0,0,0
2005-01-13,,,,,0,0,0,0,0
2005-01-14,,,,,0,0,0,0,0
2005-01-17,,,,,0,0,0,0,0
2005-01-18,,,,,0,0,0,0,0
2005-01-19,,,,,0,0,0,0,0
2005-01-20,,,,,0,0,0,0,0
2005-01-21,,,,,0,0,0,0,0
2005-01-24,,,,,0,0,0,0,0
2005-01-25,,,,,0,0,0,0,0
2005-01-26,,,,,0,0,0,0,0
2005-01-27,,,,,0,0,0,0,0
2005-01-28,,,,,0,0,0,0,0
2005-01-31,,,,,0,0,0,0,0
2005-02-01,,,,,0,0,0,0,0
2005-02-02,,,,,0,0,0,0,0
2005-02-03,,,,,0,0,0,0,0
2005-02-14,,,,,0,0,0,0,0
2005-02-15,,,,,0,0,0,0,0
2005-02-16,,,,,0,0,0,0,0
2005-02-17,,,,,0,0,0,0,0
2005-02-18,,,,,0,0,0,0,0
2005-02-21,,,,,0,0,0,0,0
2005-02-22,,,,,0,0,0,0,0
2005-02-23,,,,,0,0,0,0,0
2005-09-14,,,,,0,0,0,0,0
2005-09-15,,,,,0,0,0,0,0
2005-09-16,,,,,0,0,0,0,0
2005-09-19,,,,,0,0,0,0,0
2005-09-20,,,,,0,0,0,0,0
2005-09-21,,,,,0,0,0,0,0
2005-09-22,,,,,0,0,0,0,0
2005-09-23,,,,,0,0,0,0,0
2005-09-26,,,,,0,0,0,0,0
2005-09-27,,,,,0,0,0,0,0
2005-09-28,,,,,0,0,0,0,0
2005-09-29,,,,,0,0,0,0,0
2005-09-30,,,,,0,0,0,0,0
2005-10-03,,,,,0,0,0,0,0
2005-10-04,,,,,0,0,0,0,0
2005-10-05,,,,,0,0,0,0,0
2005-10-06,,,,,0,0,0,0,0
2005-10-07,,,,,0,0,0,0,0
2005-10-11,,,,,0,0,0,0,0
2005-10-12,,,,,0,0,0,0,0
2005-10-13,,,,,0,0,0,0,0
2005-10-14,,,,,0,0,0,0,0
2005-10-17,,,,,0,0,0,0,0
2005-10-18,,,,,0,0,0,0,0
2005-10-19,,,,,0,0,0,0,0
2005-10-20,,,,,0,0,0,0,0
2005-10-21,,,,,0,0,0,0,0
2005-10-24,,,,,0,0,0,0,0
2005-10-25,,,,,0,0,0,0,0
2005-10-26,,,,,0,0,0,0,0
2005-10-27,,,,,0,0,0,0,0
2005-10-28,,,,,0,0,0,0,0
2005-10-31,,,,,0,0,0,0,0
2005-11-01,,,,,0,0,0,0,0
2005-11-02,,,,,0,0,0,0,0
2005-11-03,,,,,0,0,0,0,0
2005-11-04,,,,,0,0,0,0,0
2005-11-07,,,,,0,0,0,0,0
2005-11-08,,,,,0,0,0,0,0
2005-11-09,,,,,0,0,0,0,0
2005-11-10,,,,,0,0,0,0,0
2005-11-11,,,,,0,0,0,0,0
2005-11-14,,,,,0,0,0,0,0
2005-11-15,,,,,0,0,0,0,0
2005-11-16,,,,,0,0,0,0,0
2005-11-17,,,,,0,0,0,0,0
