date,OP,CP,HP,LP,DF,RD,TV,TC,TO
2004-02-20,10.7,10.7,10.7,10.7,0.0,0,2000,2,21400
2004-02-23,11.4,11.4,11.4,11.4,0.7,1,2000,1,22800
2004-02-24,12.15,12.15,12.15,12.15,0.75,1,14000,5,170100
2004-02-25,13.0,13.0,13.0,13.0,0.85,1,154000,22,2002000
2004-02-26,13.9,13.75,13.9,13.4,0.75,1,4450000,217,61648400
2004-02-27,13.55,14.0,14.0,13.5,0.25,1,6187000,169,85241800
2004-03-01,14.0,14.2,14.4,13.55,0.2,1,3478000,165,48591900
2004-03-02,14.4,13.7,14.4,13.7,-0.5,-1,1127000,70,15737200
2004-03-03,14.0,14.0,14.1,13.7,0.3,1,1560000,90,21887300
2004-03-04,14.0,14.2,14.3,14.0,0.2,1,1440000,87,20464850
2004-03-05,14.0,14.0,14.4,13.9,-0.2,-1,1048000,70,14827850
2004-03-08,14.0,13.9,14.2,13.9,-0.1,-1,346000,48,4848600
2004-03-09,13.9,14.0,14.0,13.8,0.1,1,891000,82,12402000
2004-03-10,13.9,13.85,14.0,13.7,-0.15,-1,687000,64,9543900
2004-03-11,13.7,13.75,13.95,13.7,-0.1,-1,501000,38,6919750
2004-03-12,13.6,13.75,13.8,13.6,0.0,0,408000,33,5579300
2004-03-15,13.8,13.1,13.8,13.1,-0.65,-1,121000,24,1647900
2004-03-16,13.1,13.2,13.4,12.8,0.1,1,712000,53,9355650
2004-03-17,13.1,13.3,13.45,13.1,0.1,1,362000,36,4790200
2004-03-18,13.5,13.6,13.6,13.3,0.3,1,789000,60,10585750
2004-03-19,13.35,13.4,13.5,13.35,-0.2,-1,376000,24,5046600
2004-03-22,12.5,12.5,12.5,12.5,-0.9,-1,52000,10,650000
2004-03-23,11.65,12.9,12.9,11.65,0.4,1,112000,19,1332400
2004-03-24,12.4,12.5,12.5,12.2,-0.4,-1,152000,23,1881350
2004-03-25,12.2,12.35,12.8,12.2,-0.15,-1,133000,27,1683800
2004-03-26,12.5,12.25,12.5,12.2,-0.1,-1,108000,17,1329450
2004-03-29,12.5,13.0,13.1,12.5,0.75,1,408000,31,5315100
2004-03-30,13.0,12.65,13.0,12.65,-0.35,-1,41000,8,529400
2004-03-31,12.7,13.35,13.35,12.7,0.7,1,1428000,90,18833250
2004-04-01,13.2,13.25,13.25,13.1,-0.1,-1,821000,29,10819700
2004-04-02,13.5,13.2,13.5,13.2,-0.05,-1,417000,40,5555250
2004-04-05,13.0,13.05,13.15,13.0,-0.15,-1,733000,49,9545000
2004-04-06,13.05,13.1,13.25,13.05,0.05,1,822000,58,10794100
2004-04-07,13.1,13.05,13.1,13.05,-0.05,-1,174000,28,2278200
2004-04-08,13.05,13.1,13.15,13.0,0.05,1,435000,36,5700750
2004-04-09,13.1,13.05,13.1,13.0,-0.05,-1,147000,18,1924550
2004-04-12,13.1,13.45,13.5,13.1,0.4,1,1067000,75,14231000
2004-04-13,13.4,13.65,13.65,13.4,0.2,1,1369000,69,18481900
2004-04-14,13.55,13.4,13.55,13.4,-0.25,-1,223000,17,3012900
2004-04-15,13.55,13.7,13.9,13.5,0.3,1,1449000,97,19943400
2004-04-16,13.8,14.05,14.1,13.8,0.35,1,1777000,131,24886950
2004-04-19,14.1,13.75,14.4,13.75,-0.3,-1,837000,67,11862200
2004-04-20,14.3,14.3,14.7,14.3,0.55,1,2077000,127,30218950
2004-04-21,14.1,14.3,14.7,14.1,0.0,0,906000,63,13082800
2004-04-22,14.3,14.0,14.45,14.0,-0.3,-1,316000,42,4513250
2004-04-23,14.0,13.7,14.0,13.7,-0.3,-1,370000,48,5145450
2004-04-26,13.6,12.9,13.6,12.9,-0.8,-1,476000,50,6416750
2004-04-27,13.05,13.5,13.5,13.05,0.6,1,263000,13,3482550
2004-04-28,13.5,13.35,13.7,13.35,-0.15,-1,22000,7,299100
