date,OP,CP,HP,LP,DF,RD,TV,TC,TO
2017-02-10,51.5,51.7,51.9,51.5,0.0,0,6067870,1741,313816217
2017-02-13,51.8,51.8,51.9,51.7,0.1,1,2617236,896,135581878
2017-02-14,51.8,51.7,51.9,51.7,-0.1,-1,1488227,486,77035604
2017-02-15,51.7,51.6,51.8,51.6,-0.1,-1,1851604,407,95716898
2017-02-16,51.7,51.6,51.7,51.6,0.0,0,822240,369,42469368
2017-02-17,51.7,51.7,51.8,51.7,0.1,1,980015,274,50727762
2017-02-18,51.7,51.9,52.0,51.7,0.2,1,521764,225,27065467
2017-02-20,51.9,51.9,52.0,51.8,0.0,0,472454,171,24526752
2017-02-21,51.9,52.2,52.2,51.9,0.3,1,696028,280,36216156
2017-02-22,52.2,52.1,52.3,52.1,-0.1,-1,1045548,244,54535527
2017-02-23,52.1,52.3,52.3,52.1,0.2,1,526478,177,27511484
2017-02-24,52.3,52.4,52.4,52.2,0.1,1,284837,99,14905467
2017-03-01,52.4,52.6,52.6,52.4,0.2,1,740630,230,38871705
2017-03-02,52.7,53.0,53.0,52.7,0.4,1,927767,280,49063657
2017-03-03,53.0,53.2,53.3,53.0,0.2,1,4816176,223,246751433
2017-03-06,53.3,53.2,53.3,53.1,0.0,0,424395,158,22580735
2017-03-07,53.2,53.1,53.2,53.1,-0.1,-1,723383,105,38432281
2017-03-08,53.1,52.8,53.1,52.6,-0.3,-1,1355031,200,71620928
2017-03-09,52.8,52.7,52.8,52.7,-0.1,-1,170902,63,9018032
2017-03-10,52.7,52.8,52.8,52.7,0.1,1,226456,72,11940846
2017-03-13,52.8,52.7,52.8,52.7,-0.1,-1,227920,90,12011094
2017-03-14,52.7,52.5,52.7,52.5,-0.2,-1,351411,131,18472467
2017-03-15,52.6,52.6,52.6,52.5,0.1,1,199559,101,10489142
2017-03-16,52.6,52.5,52.6,52.5,-0.1,-1,214455,125,11264882
2017-03-17,52.5,52.4,52.6,52.4,-0.1,-1,540997,165,28381537
2017-03-20,52.4,52.2,52.4,52.2,-0.2,-1,605508,182,31692513
2017-03-21,52.2,52.3,52.4,52.2,0.1,1,156477,82,8182539
2017-03-22,52.3,52.2,52.3,52.0,-0.1,-1,1146426,168,59779485
2017-03-23,52.3,52.2,52.3,52.2,0.0,0,221502,85,11563597
2017-03-24,52.2,52.2,52.2,52.1,0.0,0,120740,58,6297849
2017-03-27,52.2,52.1,52.2,52.1,-0.1,-1,150827,61,7869604
2017-03-28,52.2,52.1,52.2,52.0,0.0,0,735412,139,38333557
2017-03-29,52.1,52.1,52.2,52.1,0.0,0,288214,77,15026644
2017-03-30,52.1,52.0,52.2,52.0,-0.1,-1,631676,97,32920752
2017-03-31,52.1,51.9,52.1,51.9,-0.1,-1,784194,135,40744561
2017-04-05,51.9,51.9,52.0,51.9,0.0,0,277135,97,14396796
2017-04-06,51.9,52.0,52.1,51.9,0.1,1,176676,50,9196582
2017-04-07,52.0,52.1,52.2,52.0,0.1,1,193142,64,10076084
2017-04-10,52.1,52.1,52.2,52.1,0.0,0,108926,39,5680138
2017-04-11,52.2,52.1,52.2,52.1,0.0,0,124009,44,6463964
2017-04-12,52.1,52.3,52.3,52.1,0.2,1,301568,87,15740090
2017-04-13,52.2,52.1,52.2,52.1,-0.2,-1,104696,42,5462292
2017-04-14,52.1,52.1,52.2,52.1,0.0,0,325454,85,16983708
2017-04-17,52.1,52.2,52.2,52.1,0.1,1,207793,58,10844673
2017-04-18,52.2,52.1,52.3,52.1,-0.1,-1,259539,51,13567628
2017-04-19,52.1,52.2,52.3,52.1,0.1,1,185784,62,9696068
2017-04-20,52.2,52.2,52.4,52.2,0.0,0,268631,70,14044369
2017-04-21,52.2,52.2,52.3,52.2,0.0,0,112295,34,5863767
2017-04-24,52.3,52.2,52.3,52.2,0.0,0,133208,20,6960735
2017-04-25,52.2,52.0,52.2,51.8,-0.2,-1,933085,139,48469620
2017-04-26,51.6,52.0,52.0,51.6,0.0,0,745339,93,38492593
2017-04-27,52.0,52.0,52.0,51.9,0.0,0,58250,25,3027172
2017-04-28,51.9,51.9,52.0,51.8,-0.1,-1,208731,92,10831958
2017-05-02,51.9,51.9,52.0,51.8,0.0,0,100890,57,5234405
2017-05-03,52.0,52.0,52.0,51.9,0.1,1,298967,65,15544880
2017-05-04,51.9,51.9,52.0,51.8,-0.1,-1,258919,95,13424197
2017-05-05,51.9,51.8,51.9,51.8,-0.1,-1,123054,63,6377492
2017-05-08,51.8,51.8,51.9,51.7,0.0,0,119655,85,6197761
2017-05-09,51.8,51.6,51.8,51.6,-0.2,-1,361306,105,18665884
2017-05-10,51.6,51.7,51.8,51.6,0.1,1,80969,50,4186696
2017-05-11,51.7,51.7,51.7,51.6,0.0,0,115597,83,5975557
2017-05-12,51.7,51.6,51.7,51.5,-0.1,-1,580769,189,29940274
2017-05-15,51.6,51.5,51.7,51.5,-0.1,-1,307590,112,15866582
2017-05-16,51.5,51.5,51.6,51.4,0.0,0,562837,177,28987803
2017-05-17,51.5,51.5,51.5,51.4,0.0,0,226008,66,11635610
2017-05-18,51.5,51.5,51.5,51.4,0.0,0,162217,54,8353773
2017-05-19,51.5,51.6,51.6,51.5,0.1,1,200865,59,10345545
2017-05-22,51.6,51.6,51.6,51.5,0.0,0,44985,38,2320326
2017-05-23,51.6,51.6,51.6,51.5,0.0,0,91006,48,4693506
2017-05-24,51.7,51.6,51.7,51.6,0.0,0,28954,39,1494320
2017-05-25,51.6,51.7,51.8,51.6,0.1,1,122821,47,6349341
2017-05-26,51.7,51.8,51.8,51.6,0.1,1,121002,38,6256500
2017-05-31,51.8,51.8,51.8,51.7,0.0,0,48323,22,2500866
2017-06-01,51.8,51.8,51.8,51.7,0.0,0,77448,58,4011300
2017-06-02,51.8,51.8,51.8,51.7,0.0,0,81668,49,4224099
2017-06-03,51.8,51.8,51.8,51.7,0.0,0,104506,68,5411808
2017-06-05,51.8,51.8,51.9,51.8,0.0,0,107696,97,5578846
2017-06-06,51.7,51.8,51.8,51.7,0.0,0,56120,27,2902703
2017-06-07,51.8,51.8,51.8,51.8,0.0,0,161497,77,8365542
2017-06-08,51.8,51.8,51.8,51.7,0.0,0,114467,65,5929041
2017-06-09,51.8,51.8,51.8,51.7,0.0,0,101192,84,5238645
2017-06-12,51.8,51.8,51.8,51.8,0.0,0,80226,76,4155661
