date,OP,CP,HP,LP,DF,RD,TV,TC,TO
2005-04-15,,,,,0,0,0,0,0
2005-04-18,,,,,0,0,0,0,0
2005-04-19,,,,,0,0,0,0,0
2005-04-20,,,,,0,0,0,0,0
2005-04-21,,,,,0,0,0,0,0
2005-04-22,,,,,0,0,0,0,0
2005-04-25,,,,,0,0,0,0,0
2005-04-26,,,,,0,0,0,0,0
2005-04-27,,,,,0,0,0,0,0
2005-04-28,,,,,0,0,0,0,0
2005-04-29,,,,,0,0,0,0,0
2005-05-03,,,,,0,0,0,0,0
2005-05-04,,,,,0,0,0,0,0
2005-05-05,,,,,0,0,0,0,0
2005-05-06,,,,,0,0,0,0,0
2005-05-09,,,,,0,0,0,0,0
2005-05-10,,,,,0,0,0,0,0
2005-05-11,,,,,0,0,0,0,0
2005-05-12,,,,,0,0,0,0,0
2005-05-13,,,,,0,0,0,0,0
2005-05-16,,,,,0,0,0,0,0
2005-05-17,,,,,0,0,0,0,0
2005-05-18,,,,,0,0,0,0,0
2005-05-19,,,,,0,0,0,0,0
2005-05-20,,,,,0,0,0,0,0
2005-05-23,,,,,0,0,0,0,0
2005-05-24,,,,,0,0,0,0,0
2005-05-25,,,,,0,0,0,0,0
2005-05-26,,,,,0,0,0,0,0
2005-05-27,,,,,0,0,0,0,0
2005-05-30,,,,,0,0,0,0,0
2005-05-31,,,,,0,0,0,0,0
2005-06-01,,,,,0,0,0,0,0
2005-06-02,,,,,0,0,0,0,0
2005-06-03,,,,,0,0,0,0,0
2005-06-06,,,,,0,0,0,0,0
2005-06-07,,,,,0,0,0,0,0
2005-06-08,,,,,0,0,0,0,0
2005-06-09,,,,,0,0,0,0,0
2005-06-10,,,,,0,0,0,0,0
2005-06-13,,,,,0,0,0,0,0
2005-06-14,,,,,0,0,0,0,0
2005-06-15,,,,,0,0,0,0,0
2005-06-16,,,,,0,0,0,0,0
2005-06-17,,,,,0,0,0,0,0
2005-06-20,,,,,0,0,0,0,0
2005-06-21,,,,,0,0,0,0,0
2005-06-22,,,,,0,0,0,0,0
2005-06-23,,,,,0,0,0,0,0
2005-06-24,,,,,0,0,0,0,0
2005-06-27,,,,,0,0,0,0,0
2005-06-28,,,,,0,0,0,0,0
2005-06-29,,,,,0,0,0,0,0
2005-06-30,,,,,0,0,0,0,0
2005-07-01,,,,,0,0,0,0,0
2005-07-04,,,,,0,0,0,0,0
2005-07-05,,,,,0,0,0,0,0
2005-07-06,,,,,0,0,0,0,0
2005-07-07,,,,,0,0,0,0,0
2005-07-08,,,,,0,0,0,0,0
2005-07-11,,,,,0,0,0,0,0
2005-07-12,,,,,0,0,0,0,0
2005-07-13,,,,,0,0,0,0,0
2005-07-14,,,,,0,0,0,0,0
2005-07-15,,,,,0,0,0,0,0
2005-07-19,,,,,0,0,0,0,0
2005-07-20,,,,,0,0,0,0,0
2005-07-21,,,,,0,0,0,0,0
2005-07-22,,,,,0,0,0,0,0
2005-07-25,,,,,0,0,0,0,0
2005-07-26,,,,,0,0,0,0,0
2005-07-27,,,,,0,0,0,0,0
2005-07-28,,,,,0,0,0,0,0
2005-07-29,,,,,0,0,0,0,0
2005-08-01,,,,,0,0,0,0,0
2005-08-02,,,,,0,0,0,0,0
2005-08-03,,,,,0,0,0,0,0
2005-08-04,,,,,0,0,0,0,0
2005-08-08,,,,,0,0,0,0,0
2005-08-09,,,,,0,0,0,0,0
2005-08-10,,,,,0,0,0,0,0
2005-08-11,,,,,0,0,0,0,0
2005-08-12,,,,,0,0,0,0,0
2005-08-15,,,,,0,0,0,0,0
2005-08-16,,,,,0,0,0,0,0
2005-08-17,,,,,0,0,0,0,0
2005-08-18,,,,,0,0,0,0,0
2005-08-19,,,,,0,0,0,0,0
2005-08-22,,,,,0,0,0,0,0
2005-08-23,,,,,0,0,0,0,0
2005-08-24,,,,,0,0,0,0,0
2005-08-25,,,,,0,0,0,0,0
2005-08-26,,,,,0,0,0,0,0
2005-08-29,,,,,0,0,0,0,0
2005-08-30,,,,,0,0,0,0,0
2005-08-31,,,,,0,0,0,0,0
2005-09-02,,,,,0,0,0,0,0
2005-09-05,,,,,0,0,0,0,0
2005-09-06,,,,,0,0,0,0,0
2005-09-07,,,,,0,0,0,0,0
2005-09-08,,,,,0,0,0,0,0
2005-09-09,,,,,0,0,0,0,0
2005-09-12,,,,,0,0,0,0,0
2005-09-13,,,,,0,0,0,0,0
2005-09-14,,,,,0,0,0,0,0
2005-09-15,,,,,0,0,0,0,0
2005-09-16,,,,,0,0,0,0,0
2005-09-19,,,,,0,0,0,0,0
