

2016年09月14日大盤統計資訊
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價指數,10295.62,-,39.29,-0.38
發行量加權股價指數,8902.3,-,38.53,-0.43
臺灣公司治理100指數,4960.95,-,38.88,-0.78
臺灣50指數,6652.88,-,42.85,-0.64
臺灣中型100指數,6330.11,+,5.4,0.09
臺灣資訊科技指數,8097.37,-,61.28,-0.75
臺灣發達指數,7555.63,-,21.04,-0.28
臺灣高股息指數,5378.93,-,23.1,-0.43
臺灣就業99指數,5321.9,-,23.06,-0.43
臺灣高薪100指數,4889.18,-,25.41,-0.52
臺灣低波動高股息指數,1329.74,-,7.14,-0.53
未含金融保險股指數,7570.09,-,31.94,-0.42
未含電子股指數,12348.87,-,67.17,-0.54
未含金融電子股指數,10726.76,-,59.9,-0.56
小型股300指數,5379.6,+,5.65,0.11
漲升股利150指數,5127.51,-,18.53,-0.36
漲升股利100指數,5118.97,-,16.65,-0.32
水泥窯製類指數,428.52,-,1.94,-0.45
塑膠化工類指數,772.15,-,4.57,-0.59
機電類指數,2047.6,-,6.48,-0.32
水泥類指數,109.95,-,0.35,-0.32
食品類指數,1398.14,-,19.97,-1.41
塑膠類指數,220.08,-,2.03,-0.91
紡織纖維類指數,483.59,+,2.28,0.47
電機機械類指數,162.79,+,0.28,0.17
電器電纜類指數,35.46,+,0.19,0.54
化學生技醫療類指數,99.16,+,0.25,0.25
化學類指數,94.01,+,0.68,0.73
生技醫療類指數,74.71,-,0.2,-0.27
玻璃陶瓷類指數,40,-,0.41,-1.01
造紙類指數,152.91,-,0.14,-0.09
鋼鐵類指數,85.94,-,0.63,-0.73
橡膠類指數,321,-,0.85,-0.26
汽車類指數,245.51,-,2.6,-1.05
電子類指數,363.4,-,1.24,-0.34
半導體類指數,124.46,-,0.86,-0.69
電腦及週邊設備類指數,96.69,-,0.14,-0.14
光電類指數,33.92,+,0.27,0.8
通信網路類指數,124.9,-,0.63,-0.5
電子零組件類指數,77.09,-,1.19,-1.52
電子通路類指數,106.59,-,1.02,-0.95
資訊服務類指數,76.32,+,0.01,0.01
其他電子類指數,82.67,+,0.79,0.96
建材營造類指數,236.84,+,0.26,0.11
航運類指數,59.32,-,0.19,-0.32
觀光類指數,115.19,-,1.68,-1.44
金融保險類指數,984.71,-,4.99,-0.5
貿易百貨類指數,213.51,-,2.19,-1.02
油電燃氣類指數,114.39,-,1.88,-1.62
其他類指數,244.15,+,0.59,0.24
臺指日報酬兩倍指數,11622.39,-,101.04,-0.86
臺指日報酬反向一倍指數,8999.66,+,38.62,0.43
電子類兩倍槓桿指數,9095.26,-,62.28,-0.68
電子類反向指數,9887.87,+,33.51,0.34
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
寶島股價報酬指數,11461.4,-,43.74,-0.38
發行量加權股價報酬指數,14673.19,-,63.5,-0.43
臺灣公司治理100報酬指數,5377.77,-,42.15,-0.78
臺灣50報酬指數,11092.14,-,71.44,-0.64
臺灣中型100報酬指數,9811.67,+,8.36,0.09
臺灣資訊科技報酬指數,12836.79,-,97.16,-0.75
臺灣發達報酬指數,11351.4,-,31.62,-0.28
