"106年05月23日 大盤統計資訊"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)",
"寶島股價指數","11,485.89","+","13.92",="0.12",
"發行量加權股價指數","10,007.84","+","10.58",="0.11",
"臺灣公司治理100指數","5,636.38","+","3.04",="0.05",
"臺灣50指數","7,604.73","+","12.03",="0.16",
"臺灣中型100指數","6,921.10","-",="0.17","---",
"臺灣資訊科技指數","9,196.16","+","5.43",="0.06",
"臺灣發達指數","8,582.29","+","30.01",="0.35",
"臺灣高股息指數","5,815.04","-","2.46","-0.04",
"臺灣就業99指數","5,882.11","+","1.19",="0.02",
"臺灣高薪100指數","5,540.21","-","2.16","-0.04",
"臺灣低波動高股息指數","1,444.63","-","2.95","-0.20",
"未含金融保險股指數","8,508.02","+","13.61",="0.16",
"未含電子股指數","13,474.20","-","7.43","-0.06",
"未含金融電子股指數","11,557.71","+","3.35",="0.03",
"小型股300指數","5,930.89","+","16.56",="0.28",
"漲升股利150指數","5,752.84","+","13.56",="0.24",
"漲升股利100指數","5,733.52","+","8.48",="0.15",
"藍籌30指數","5,270.50","-","1.82","-0.03",
"工業菁英30指數","5,428.20","+","6.78",="0.13",
"電子菁英30指數","5,506.72","+","9.81",="0.18",
"低波動精選30指數","5,248.43","+","8.50",="0.16",
"低貝塔100指數","5,301.48","+","11.75",="0.22",
"中小型精選50指數","5,012.28","+","20.79",="0.42",
"中小型A級動能50指數","5,335.60","+","8.93",="0.17",
"藍籌30反向一倍指數","9,455.36","+","3.26",="0.03",
"水泥窯製類指數","435.23","+","2.57",="0.59",
"塑膠化工類指數","841.37","-","1.86","-0.22",
"機電類指數","2,351.86","+","5.07",="0.22",
"水泥類指數","113.39","+",="0.25",="0.22",
"食品類指數","1,454.37","+","4.31",="0.30",
"塑膠類指數","254.07","-",="0.64","-0.25",
"紡織纖維類指數","477.65","+","3.08",="0.65",
"電機機械類指數","169.49","-",="0.74","-0.43",
"電器電纜類指數","40.90","+",="0.33",="0.81",
"化學生技醫療類指數","96.72","+",="0.05",="0.05",
"化學類指數","98.57","-",="0.03","-0.03",
"生技醫療類指數","66.69","+",="0.11",="0.17",
"玻璃陶瓷類指數","37.65","+",="0.93","2.53",
"造紙類指數","202.18","+",="0.89",="0.44",
"鋼鐵類指數","98.81","+",="0.44",="0.45",
"橡膠類指數","306.48","-","1.34","-0.44",
"汽車類指數","268.20","+",="0.47",="0.18",
"電子類指數","418.86","+",="0.99",="0.24",
"半導體類指數","144.00","+",="0.13",="0.09",
"電腦及週邊設備類指數","102.18","-",="0.31","-0.30",
"光電類指數","43.76"," ","--","--",
"通信網路類指數","124.95","-",="0.19","-0.15",
"電子零組件類指數","89.36","+",="0.24",="0.27",
"電子通路類指數","115.58","+",="0.77",="0.67",
"資訊服務類指數","91.90","+","1.41","1.56",
"其他電子類指數","106.45","+","1.46","1.39",
"建材營造類指數","261.42","+",="0.69",="0.26",
"航運類指數","61.41","+",="0.43",="0.71",
"觀光類指數","120.42","+",="0.21",="0.17",
"金融保險類指數","1,108.96","-","2.91","-0.26",
"貿易百貨類指數","229.88","+","4.52","2.01",
"油電燃氣類指數","132.46","-","1.78","-1.33",
"其他類指數","247.84","+",="0.15",="0.06",
"臺指日報酬兩倍指數","14,582.63","+","30.80",="0.21",
"臺指日報酬反向一倍指數","7,947.87","-","8.42","-0.11",
"電子類兩倍槓桿指數","11,970.59","+","56.45",="0.47",
"電子類反向指數","8,498.47","-","20.18","-0.24",
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)",
"寶島股價報酬指數","12,790.58","+","15.50",="0.12",
"發行量加權股價報酬指數","16,500.61","+","17.46",="0.11",
"臺灣公司治理100報酬指數","6,110.06","+","3.30",="0.05",
"臺灣50報酬指數","12,679.13","+","20.06",="0.16",
"臺灣中型100報酬指數","10,736.77","-",="0.25","--",
"臺灣資訊科技報酬指數","14,579.65","+","8.60",="0.06",
"臺灣發達報酬指數","12,897.23","+","45.10",="0.35",
"臺灣高股息報酬指數","10,894.35","-","4.59","-0.04",
"臺灣就業99報酬指數","7,227.87","+","1.46",="0.02",
"臺灣高薪100報酬指數","6,088.78","-","2.38","-0.04",
"臺灣低波動高股息報酬指數","3,114.76","-","6.38","-0.20",
"未含金融電子股報酬指數","19,100.75","+","5.53",="0.03",
"小型股300報酬指數","6,194.37","+","17.29",="0.28",
"漲升股利150報酬指數","5,942.97","+","14.00",="0.24",
"漲升股利100報酬指數","5,913.87","+","8.76",="0.15",
"藍籌 30 報酬指數","5,270.50","-","1.82","-0.03",
"工業菁英 30 報酬指數","5,428.20","+","6.78",="0.13",
"電子菁英 30 報酬指數","5,506.72","+","9.81",="0.18",
"低波動精選 30 報酬指數","5,248.43","+","8.50",="0.16",
"低貝塔 100 報酬指數","5,303.74","+","11.75",="0.22",
"中小型精選50報酬指數","5,012.28","+","20.79",="0.42",
"中小型A級動能50報酬指數","5,335.60","+","8.93",="0.17",
"水泥類報酬指數","165.57","+",="0.36",="0.22",
"食品類報酬指數","1,783.67","+","5.28",="0.30",
"塑膠類報酬指數","339.32","-",="0.87","-0.26",
"紡織纖維類報酬指數","625.75","+","4.03",="0.65",
"電機機械類報酬指數","218.02","-",="0.95","-0.43",
"電器電纜類報酬指數","47.88","+",="0.39",="0.82",
"化學生技醫療類報酬指數","125.39","+",="0.07",="0.06",
"化學類報酬指數","132.06","-",="0.03","-0.02",
"生技醫療類報酬指數","81.43","+",="0.14",="0.17",
"玻璃陶瓷類報酬指數","40.67","+","1.00","2.52",
"造紙類報酬指數","251.24","+","1.11",="0.44",
