"106年07月06日 大盤統計資訊"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)",
"寶島股價指數","11,876.11","-","38.34","-0.32",
"發行量加權股價指數","10,368.20","-","36.59","-0.35",
"臺灣公司治理100指數","5,839.34","-","33.73","-0.57",
"臺灣50指數","7,911.17","-","34.99","-0.44",
"臺灣中型100指數","7,248.61","-","2.45","-0.03",
"臺灣資訊科技指數","9,514.84","-","49.49","-0.52",
"臺灣發達指數","9,045.25","-","22.24","-0.25",
"臺灣高股息指數","5,979.56","-","36.05","-0.60",
"臺灣就業99指數","6,056.20","-","12.71","-0.21",
"臺灣高薪100指數","5,776.60","-","28.92","-0.50",
"臺灣低波動高股息指數","1,491.75","-","5.50","-0.37",
"未含金融保險股指數","8,828.47","-","31.60","-0.36",
"未含電子股指數","13,913.12","-","77.32","-0.55",
"未含金融電子股指數","11,971.06","-","77.91","-0.65",
"小型股300指數","6,055.52","-","11.82","-0.19",
"漲升股利150指數","5,994.73","-","30.56","-0.51",
"漲升股利100指數","5,967.74","-","34.82","-0.58",
"藍籌30指數","5,459.12","-","26.03","-0.47",
"工業菁英30指數","5,759.48","-","32.61","-0.56",
"電子菁英30指數","5,696.12","-","28.89","-0.50",
"低波動精選30指數","5,517.14","-","33.67","-0.61",
"低貝塔100指數","5,433.80","-","17.88","-0.33",
"中小型精選50指數","5,227.18","-","11.80","-0.23",
"中小型A級動能50指數","5,480.10","+","13.69","0.25",
"藍籌30反向一倍指數","9,121.20","+","43.08","0.47",
"水泥窯製類指數","438.40","-","1.83","-0.42",
"塑膠化工類指數","877.38","-","10.88","-1.22",
"機電類指數","2,442.46","-","4.56","-0.19",
"水泥類指數","113.35","-","0.39","-0.34",
"食品類指數","1,555.74","+","2.74","0.18",
"塑膠類指數","265.28","-","4.49","-1.66",
"紡織纖維類指數","507.92","-","1.83","-0.36",
"電機機械類指數","175.03","-","0.12","-0.07",
"電器電纜類指數","42.33","-","0.04","-0.09",
"化學生技醫療類指數","98.10","-","0.36","-0.37",
"化學類指數","100.62","-","0.15","-0.15",
"生技醫療類指數","67.04","-","0.45","-0.67",
"玻璃陶瓷類指數","39.37","-","0.31","-0.78",
"造紙類指數","223.41","-","1.60","-0.71",
"鋼鐵類指數","103.78","+","0.17","0.16",
"橡膠類指數","330.01","-","0.05","-0.02",
"汽車類指數","272.18","-","1.97","-0.72",
"電子類指數","435.08","-","0.84","-0.19",
"半導體類指數","148.11","-","0.71","-0.48",
"電腦及週邊設備類指數","106.96","-","0.31","-0.29",
"光電類指數","45.48","+","0.80","1.79",
"通信網路類指數","128.17","-","0.45","-0.35",
"電子零組件類指數","89.22","-","0.25","-0.28",
"電子通路類指數","115.58","-","0.26","-0.22",
"資訊服務類指數","89.61","-","0.11","-0.12",
"其他電子類指數","117.18","-","0.28","-0.24",
"建材營造類指數","264.93","-","1.86","-0.70",
"航運類指數","64.88","-","0.53","-0.81",
"觀光類指數","126.24","+","1.19","0.95",
"金融保險類指數","1,136.36","-","3.63","-0.32",
"貿易百貨類指數","227.30","-","0.13","-0.06",
"油電燃氣類指數","132.53","-","1.18","-0.88",
"其他類指數","259.60","-","1.90","-0.73",
"臺指日報酬兩倍指數","15,636.92","-","110.76","-0.70",
"臺指日報酬反向一倍指數","7,664.36","+","26.86","0.35",
"電子類兩倍槓桿指數","12,895.24","-","49.89","-0.39",
"電子類反向指數","8,168.67","+","15.71","0.19",
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)",
"寶島股價報酬指數","13,407.99","-","13.40","-0.10",
"發行量加權股價報酬指數","17,340.92","-","25.13","-0.14",
"臺灣公司治理100報酬指數","6,442.22","-","21.50","-0.33",
"臺灣50報酬指數","13,410.93","-","28.64","-0.21",
"臺灣中型100報酬指數","11,310.92","+","7.63","0.07",
"臺灣資訊科技報酬指數","15,456.08","-","51.09","-0.33",
"臺灣發達報酬指數","13,676.85","+","7.47","0.05",
"臺灣高股息報酬指數","11,333.06","-","40.64","-0.36",
"臺灣就業99報酬指數","7,528.26","-","5.38","-0.07",
"臺灣高薪100報酬指數","6,438.56","-","15.62","-0.24",
"臺灣低波動高股息報酬指數","3,250.00","-","6.26","-0.19",
"未含金融電子股報酬指數","20,041.01","-","41.15","-0.20",
"小型股300報酬指數","6,382.85","-","1.66","-0.03",
"漲升股利150報酬指數","6,273.11","-","8.70","-0.14",
"漲升股利100報酬指數","6,241.88","-","10.75","-0.17",
"藍籌 30 報酬指數","5,546.75","-","15.33","-0.28",
"工業菁英 30 報酬指數","5,837.90","-","14.25","-0.24",
"電子菁英 30 報酬指數","5,781.91","-","12.83","-0.22",
"低波動精選 30 報酬指數","5,569.21","-","13.94","-0.25",
"低貝塔 100 報酬指數","5,459.09","-","16.58","-0.30",
"中小型精選50報酬指數","5,255.30","-","11.87","-0.23",
"中小型A級動能50報酬指數","5,559.23","+","16.95","0.31",
"水泥類報酬指數","165.53","-","0.57","-0.34",
"食品類報酬指數","1,913.45","+","3.37","0.18",
"塑膠類報酬指數","360.69","+","0.01","--",
"紡織纖維類報酬指數","666.74","-","2.35","-0.35",
"電機機械類報酬指數","227.86","+","0.04","0.02",
"電器電纜類報酬指數","49.64","-","0.05","-0.10",
"化學生技醫療類報酬指數","127.57","-","0.45","-0.35",
"化學類報酬指數","135.31","-","0.20","-0.15",
"生技醫療類報酬指數","82.05","-","0.52","-0.63",
"玻璃陶瓷類報酬指數","42.54","-","0.33","-0.77",
"造紙類報酬指數","278.27","-","1.99","-0.71",
"鋼鐵類報酬指數","138.44","+","0.23","0.17",
"橡膠類報酬指數","430.56","-","0.07","-0.02",
"汽車類報酬指數","346.11","-","2.51","-0.72",
"電子類報酬指數","669.30","-","0.47","-0.07",
"半導體類報酬指數","220.53","-","0.62","-0.28",
"電腦及週邊設備類報酬指數","171.58","-","0.28","-0.16",
"光電類報酬指數","56.99","+","1.02","1.82",
"通信網路類報酬指數","214.21","-","0.67","-0.31",
"電子零組件類報酬指數","136.22","-","0.18","-0.13",
"電子通路類報酬指數","194.46","-","0.45","-0.23",
"資訊服務類報酬指數","153.25","-","0.04","-0.03",
